12,1,1,73,0,1,7
10,1,0,88,0,2,7
13,1,1,55,0,1,1
11,1,0,65,0,1,7
12,1,0,78,0,1,7
12,1,0,83,0,1,7
12,1,1,86,0,1,7
10,1,1,92,0,1,7
14,1,1,90,0,1,7
12,1,0,44,0,1,7
12,1,0,58,0,2,7
16,1,0,48,0,1,7
12,1,1,66,0,1,7
12,1,1,85,0,1,7
12,1,0,81,0,1,7
12,1,0,61,0,1,7
10,1,0,67,0,1,7
12,1,0,78,0,1,7
11,1,0,69,0,1,7
12,1,0,65,0,1,7
16,1,1,84,0,1,7
12,1,0,60,1,1,7
12,1,0,83,0,1,7
12,1,0,53,0,2,1
14,1,0,85,0,1,7
12,1,1,82,0,1,7
11,1,0,62,0,1,7
12,1,0,90,0,1,7
12,1,1,90,0,1,7
11,1,1,49,0,1,1
17,1,1,90,0,1,7
12,1,0,69,0,1,7
14,1,1,87,0,2,7
4,1,1,87,0,2,7
12,1,0,62,2,7
10,1,0,74,0,1,7
13,1,1,50,0,2,2
12,1,0,82,0,1,7
12,1,1,81,0,2,7
12,1,1,90,0,1,7
12,1,1,94,0,1,7
2,1,1,87,1,2,7
11,1,0,69,0,1,7
12,1,1,72,0,2,7
7,1,0,80,0,1,7
12,1,0,51,0,1,7
12,1,1,89,0,1,7
7,1,0,64,0,1,7
14,1,1,61,0,1,7
12,1,1,89,0,1,7
12,1,0,76,0,1,7
12,1,0,87,0,1,7
10,1,1,89,0,2,7
12,1,1,70,0,1,7
15,1,0,68,0,1,7
14,1,1,90,0,2,7
17,1,0,95,0,1,7
12,1,0,75,0,1,7
12,1,0,75,0,1,7
12,1,1,91,0,1,7
17,1,1,67,0,1,7
12,1,1,63,0,1,7
12,1,0,86,0,1,7
10,1,1,93,0,1,7
12,1,0,20,1,1,1
8,1,0,75,0,1,7
12,1,0,85,0,1,7
14,1,1,60,0,1,7
16,1,0,34,0,1,7
8,1,0,97,0,1,7
12,1,0,55,1,1,7
16,1,0,84,0,1,7
12,1,1,97,0,1,7
12,1,1,78,0,1,7
12,1,0,65,0,1,7
12,1,0,47,0,1,7
12,1,0,49,0,1,7
14,1,1,60,0,1,7
11,1,0,54,0,1,7
12,1,1,97,0,1,7
16,1,1,61,0,1,7
6,1,0,25,1,1,7
8,1,1,74,0,1,7
2,1,0,77,0,1,7
14,1,0,74,0,1,7
16,1,0,88,0,2,7
12,1,0,30,1,2,3
6,1,1,95,0,2,7
10,1,1,78,0,1,7
12,1,1,83,0,1,7
12,1,0,90,0,1,7
10,1,1,85,0,1,7
12,1,0,68,0,1,7
10,1,0,22,1,2,3
14,1,1,87,0,1,7
14,1,0,71,0,1,7
2,1,1,82,0,1,7
12,1,0,53,0,1,7
8,1,1,63,0,1,7
12,1,1,83,0,1,7
12,1,0,66,0,1,7
10,1,1,46,0,1,4
16,1,0,82,0,1,7
12,1,1,85,0,1,7
16,1,1,38,1,1,7
17,1,0,84,0,1,7
4,1,0,80,0,1,7
12,1,0,60,0,1,7
12,1,0,65,0,3,7
16,1,0,78,0,1,7
12,1,1,78,0,1,7
16,1,1,60,0,1,7
12,1,0,67,0,1,7
12,1,0,70,0,1,7
14,1,1,88,0,1,7
12,1,1,83,0,1,7
17,1,1,90,1,1,7
12,1,1,72,0,1,7
12,1,1,88,0,1,7
15,1,0,71,0,1,7
17,1,1,91,0,1,7
12,1,1,60,1,2,7
9,1,1,71,0,2,7
10,1,0,79,1,1,5
7,1,0,82,0,1,7
10,1,1,35,1,2,7
12,1,0,71,0,2,7
12,1,1,84,1,2,7
8,1,1,66,0,1,7
16,1,0,85,0,1,1
12,1,0,71,0,1,7
12,1,0,49,0,1,7
12,1,1,86,0,1,7
12,1,0,89,0,2,7
9,1,1,71,0,2,7
17,1,0,78,0,1,7
17,1,0,84,0,1,7
14,1,1,86,0,2,7
8,1,1,62,0,1,7
8,1,1,92,0,2,7
14,1,0,43,0,2,7
10,1,1,88,0,1,7
12,1,1,49,0,1,1
12,1,0,67,0,1,7
9,1,1,81,0,1,7
12,1,1,69,0,2,7
4,1,1,85,0,2,7
16,1,0,73,0,1,7
12,1,1,80,0,2,7
12,1,0,75,0,1,7
16,1,1,86,0,1,7
14,1,1,68,0,1,7
7,1,1,52,0,1,7
12,1,1,82,0,1,7
13,1,1,45,1,1,7
12,1,1,85,0,1,7
10,1,1,92,0,2,7
12,1,0,72,0,1,7
12,1,0,76,0,1,7
17,1,0,73,0,1,7
9,1,0,70,0,1,7
12,1,1,69,0,1,7
12,1,0,84,0,1,7
16,1,0,66,0,1,7
11,1,1,83,0,1,7
14,1,0,69,0,1,7
16,1,1,75,0,2,7
12,1,1,40,0,1,1
99,1,1,67,0,1,7
10,1,0,33,1,2,1
12,1,1,67,0,1,7
7,1,1,99,0,1,7
12,1,1,88,0,1,7
12,1,1,80,0,1,7
8,1,0,85,0,1,7
12,1,1,61,0,1,7
3,1,1,87,0,1,7
10,1,1,81,0,1,7
9,1,0,62,0,1,7
12,1,0,69,0,2,7
12,1,0,74,0,1,7
12,1,0,48,0,1,7
13,1,1,75,0,2,7
16,1,0,48,0,1,7
14,1,1,53,0,1,7
12,1,1,87,0,1,7
12,1,1,79,0,1,7
5,1,1,93,0,1,7
12,1,0,61,0,2,3
16,1,0,73,0,1,7
12,1,0,84,0,1,7
0,1,0,2,1,1,7
14,1,0,54,0,1,7
12,1,1,82,0,1,7
12,1,0,49,0,1,7
12,1,1,79,0,1,7
12,1,0,84,0,1,7
12,1,0,69,0,2,4
8,1,1,94,0,1,7
12,1,0,75,0,1,7
12,1,0,43,0,1,7
99,1,1,85,0,1,7
12,1,0,48,1,1,1
14,1,1,79,0,1,7
10,1,1,68,0,1,7
8,1,0,79,0,2,7
11,1,1,68,0,2,7
13,1,1,48,0,1,7
14,1,1,88,0,1,7
12,1,0,58,0,1,7
6,1,1,92,0,1,7
0,1,1,0,1,1,5
12,1,0,56,0,1,7
12,1,0,84,0,1,7
10,1,0,74,0,1,7
12,1,0,72,0,1,7
12,1,0,44,1,1,7
13,1,1,77,0,1,7
17,1,1,84,0,1,7
17,1,0,81,0,1,7
13,1,0,61,0,1,7
16,1,1,85,1,1,7
13,1,0,43,1,2,7
12,1,0,86,0,1,7
11,1,0,68,0,1,7
12,1,1,96,0,1,7
7,1,1,98,0,1,7
99,1,0,72,0,1,7
12,1,0,82,0,1,7
14,1,1,43,1,2,7
14,1,0,59,0,1,7
12,1,0,59,0,1,7
12,1,1,82,0,1,7
9,1,1,96,0,2,7
12,1,1,82,0,1,7
13,1,1,83,0,1,7
15,1,0,60,0,1,7
17,1,0,87,0,1,7
17,1,0,92,0,1,7
11,1,1,68,1,2,7
12,1,0,65,0,1,7
12,1,1,80,0,1,7
8,1,0,36,0,1,1
17,1,1,62,0,1,7
10,1,0,67,0,2,7
13,1,0,66,1,1,7
12,1,1,81,0,1,7
15,1,1,68,0,1,7
16,1,0,61,0,2,7
10,1,1,74,0,1,7
12,1,0,60,0,1,7
14,1,0,59,0,1,7
12,1,0,72,0,2,7
12,1,0,32,0,1,7
14,1,0,90,0,1,7
12,1,0,62,0,2,7
11,1,0,80,0,1,7
10,1,0,83,0,2,7
16,1,1,74,0,1,7
12,1,1,80,0,1,7
12,1,0,57,1,2,7
17,1,0,88,0,1,7
16,1,0,77,0,1,7
11,1,0,57,0,1,7
8,1,1,61,1,1,7
12,1,1,76,1,2,7
9,1,1,61,0,1,7
12,1,0,86,0,1,7
12,1,0,78,0,1,7
14,1,1,58,0,1,7
11,1,0,52,0,1,7
14,1,1,80,0,2,7
12,1,0,71,0,1,7
12,1,1,65,0,1,7
12,1,0,51,0,1,7
16,1,1,67,0,1,7
11,1,0,30,0,1,2
13,1,0,86,0,1,7
12,1,0,52,0,1,7
15,1,0,71,0,1,7
14,1,1,91,0,1,7
12,1,1,61,0,1,7
12,1,0,76,0,1,7
12,1,0,71,0,1,7
16,1,1,51,0,2,7
14,1,0,83,0,1,7
6,1,1,95,0,1,7
12,1,0,63,0,1,2
14,1,0,71,0,1,7
12,1,0,81,0,1,7
15,1,0,68,0,1,7
10,1,0,69,0,1,7
12,1,0,83,0,1,7
12,1,1,88,0,1,7
9,1,1,51,0,1,7
14,1,1,74,0,1,7
12,1,1,89,0,1,7
10,1,0,40,0,1,7
12,1,0,65,1,1,1
14,1,0,97,0,1,7
12,1,0,86,0,1,7
12,1,1,66,0,1,7
99,1,0,89,1,7
14,1,0,82,0,1,7
6,1,1,85,0,2,7
12,1,0,79,0,2,7
17,1,1,73,0,1,7
12,1,0,81,0,1,7
16,1,0,91,0,1,7
12,1,0,86,0,1,7
8,1,0,77,0,1,7
16,1,0,80,0,1,7
6,1,1,81,0,1,7
12,1,1,83,0,1,7
12,1,0,65,0,1,7
14,1,0,82,0,1,7
16,1,1,79,0,1,7
8,1,1,69,1,1,1
8,1,1,71,0,1,7
12,1,1,90,0,1,7
6,1,1,80,0,1,1
12,1,0,60,0,1,7
11,1,0,52,0,1,2
12,1,0,46,1,1,7
8,1,0,60,1,2,7
8,1,0,86,0,1,7
12,1,0,71,1,2,7
9,1,1,91,0,1,7
9,1,1,82,0,1,7
14,1,1,71,0,1,7
12,1,0,60,0,1,7
10,1,0,78,0,1,7
10,1,1,69,0,1,7
12,1,1,59,0,1,0
12,1,1,66,0,1,7
12,1,0,68,1,2,7
8,1,1,69,0,3,7
12,1,1,94,0,1,0
10,1,1,96,0,1,7
12,1,0,68,0,1,7
16,1,0,95,0,2,7
17,1,1,86,0,1,0
16,1,1,32,0,1,7
10,1,1,77,0,1,7
14,1,1,53,0,1,7
11,1,0,77,0,1,7
12,1,0,65,0,1,7
9,1,1,84,0,1,7
16,1,0,85,0,1,0
6,1,0,58,0,1,7
13,1,0,69,0,1,7
6,1,0,91,1,2,7
12,1,1,67,0,1,7
16,1,1,88,0,1,7
9,1,0,57,0,1,0
12,1,0,82,0,1,0
12,1,1,69,0,1,7
10,1,1,73,0,1,7
14,1,0,70,0,1,7
14,1,1,83,0,1,0
16,1,1,46,0,3,1
12,1,0,75,0,1,7
12,1,1,77,0,1,7
11,1,1,63,0,1,7
12,1,0,76,0,1,7
9,1,1,87,0,1,7
6,1,1,91,0,1,7
11,1,0,56,1,2,7
16,1,0,89,0,1,7
16,1,0,97,0,1,7
12,1,1,87,1,1,7
12,1,0,91,0,1,7
10,1,1,82,0,1,7
12,1,0,56,0,1,7
12,1,0,86,0,1,7
13,1,1,84,0,1,7
13,1,1,86,0,1,7
17,1,0,96,0,1,0
12,1,1,78,0,1,7
16,1,1,89,0,1,0
12,1,0,63,0,1,7
12,1,1,66,0,2,7
14,1,1,68,0,1,0
12,1,0,81,0,1,7
8,1,1,83,0,1,7
14,1,1,21,1,2,1
9,1,1,68,0,1,0
12,1,1,88,0,1,0
12,1,0,68,0,1,0
12,1,0,76,0,2,0
10,1,0,84,0,1,0
12,1,0,70,0,1,7
12,1,1,84,0,2,0
13,1,1,87,0,1,7
12,1,0,85,0,2,7
16,1,1,93,0,1,7
11,1,1,90,0,1,7
12,1,1,97,0,1,7
12,1,0,65,0,1,7
12,1,1,81,0,1,7
14,1,0,83,0,1,7
16,1,0,49,0,1,7
15,1,0,63,0,1,7
12,1,0,54,0,2,0
11,1,1,70,0,1,7
12,1,1,78,0,2,7
12,1,0,83,0,2,7
3,1,1,90,0,2,7
12,1,0,60,0,2,7
14,1,1,90,0,1,7
14,1,1,71,0,1,7
12,1,1,46,0,1,7
11,1,1,92,0,1,7
10,1,0,88,0,2,7
12,1,1,64,0,1,7
16,1,0,81,0,1,7
12,1,0,57,0,1,0
12,1,0,88,0,1,0
12,1,0,69,0,1,7
11,1,0,87,0,1,7
8,1,1,90,0,1,7
6,1,0,62,0,1,0
12,1,1,85,0,1,7
16,1,1,28,1,1,5
12,1,1,68,0,1,0
14,1,0,41,0,1,5
6,1,0,36,1,1,1
12,1,1,86,0,1,0
6,1,1,87,0,1,0
8,1,0,79,0,1,7
16,1,0,85,0,1,7
12,1,1,67,0,1,7
12,1,0,58,0,1,7
12,1,0,58,0,1,7
11,1,1,78,0,1,7
12,1,0,103,0,2,0
12,1,0,62,1,2,7
10,1,1,66,0,2,0
15,1,0,62,0,1,0
8,1,0,49,0,2,0
17,1,0,61,0,2,0
17,1,1,83,0,2,7
12,1,0,73,0,1,7
5,1,1,89,0,1,7
16,1,0,66,0,1,7
12,1,1,40,1,1,7
12,1,0,65,0,1,7
12,1,0,66,0,1,7
12,1,1,78,0,2,7
9,1,0,93,0,1,7
9,1,0,75,0,1,0
12,1,1,70,0,2,7
12,1,0,60,0,2,7
11,1,0,91,0,1,7
10,1,1,54,0,1,7
12,1,0,77,1,2,7
9,1,1,83,0,1,7
16,1,0,86,0,1,1
12,1,0,57,0,2,7
16,1,0,81,0,2,7
12,1,0,80,0,1,7
12,1,0,83,0,1,7
12,1,1,83,0,1,7
12,1,1,82,0,1,7
4,1,0,78,0,2,7
14,1,0,61,0,1,7
11,1,0,68,0,1,7
14,1,0,79,0,1,7
11,1,1,54,0,1,7
12,1,1,73,0,1,7
13,1,0,79,0,1,7
12,1,1,74,0,1,7
12,1,0,84,0,1,7
13,1,0,78,0,1,7
9,1,0,82,0,1,7
7,1,1,51,0,1,7
0,1,0,3,1,1,1
14,1,0,73,0,1,7
12,1,0,79,0,1,7
12,1,1,84,0,1,7
14,1,0,68,1,1,7
12,1,0,71,0,1,7
8,1,1,96,0,2,7
6,1,1,85,0,2,7
10,1,1,60,0,2,7
14,1,1,69,0,2,7
6,1,1,49,0,1,1
16,1,0,91,0,1,7
12,1,1,65,0,1,7
12,1,0,84,0,1,7
17,1,0,81,0,1,7
11,1,0,76,0,2,7
12,1,0,51,1,1,7
12,1,0,47,0,1,3
6,1,1,61,0,1,7
5,1,1,97,0,1,7
16,1,1,88,0,1,7
12,1,0,60,1,1,7
13,1,1,76,0,1,7
9,1,1,73,0,4,7
16,1,1,87,0,1,7
12,1,0,72,0,1,7
16,1,0,66,0,1,7
12,1,1,50,1,1,7
12,1,1,81,1,1,7
16,1,1,53,0,1,7
12,1,1,89,0,1,7
16,1,0,63,0,1,2
12,1,0,74,0,2,7
13,1,0,79,0,1,7
7,1,0,59,0,1,7
12,1,0,38,0,1,7
6,1,1,61,0,1,7
12,1,0,61,0,1,7
12,1,0,70,0,1,7
8,1,0,81,0,1,7
9,1,1,66,0,1,7
10,1,1,95,0,1,7
10,1,1,70,0,1,7
12,1,1,85,0,1,7
11,1,0,33,0,1,7
11,1,1,54,0,2,7
12,1,0,91,0,1,7
12,1,1,85,0,1,7
13,1,0,50,0,1,3
12,1,1,81,0,1,7
14,1,0,81,0,1,7
9,1,0,35,0,1,3
11,1,0,44,2,7
16,1,0,93,0,1,7
8,1,0,54,1,2,3
11,1,0,71,0,1,7
14,1,1,51,0,1,7
8,1,0,99,0,1,7
11,1,0,84,0,1,7
11,1,0,52,0,1,7
5,1,0,53,0,1,7
16,1,0,78,0,1,7
6,1,0,71,0,2,7
13,1,0,74,1,1,7
12,1,0,57,1,1,7
9,1,1,64,0,1,1
12,1,1,45,1,2,7
9,1,1,81,0,1,7
12,1,1,83,0,2,7
10,1,1,62,0,1,7
3,1,0,87,0,2,7
14,1,0,82,0,2,7
12,1,1,44,0,1,7
12,1,0,66,0,1,7
5,1,1,87,0,2,7
10,1,0,55,0,1,7
8,1,0,88,1,2,7
12,1,1,89,0,1,7
13,1,1,69,0,1,7
14,1,0,55,0,1,7
8,1,1,101,0,1,7
4,1,0,81,0,1,7
14,1,1,91,0,1,7
17,1,1,81,0,2,7
16,1,0,88,0,1,7
12,1,1,88,0,1,7
12,1,1,86,0,1,7
12,1,0,27,1,1,7
14,1,0,88,0,1,7
16,1,1,93,0,1,7
11,1,1,92,0,1,7
16,1,1,61,0,1,7
14,1,0,87,0,1,7
12,1,0,70,0,1,7
12,1,0,70,0,1,0
17,1,1,80,1,2,7
10,1,1,50,1,2,7
12,1,0,67,0,2,7
16,1,1,39,1,2,7
12,1,1,82,0,1,0
11,1,0,82,0,1,7
16,1,1,83,0,1,7
9,1,1,54,0,1,7
12,1,0,99,0,1,0
16,1,0,80,0,1,7
9,1,0,58,0,1,7
11,1,1,51,0,1,7
8,1,1,88,0,1,7
8,1,1,84,0,1,7
12,1,0,54,0,1,7
17,1,1,81,0,2,7
0,1,1,4,1,1,7
14,1,1,62,0,2,7
8,1,1,72,0,1,7
9,1,1,54,0,1,7
12,1,0,76,0,2,0
14,1,0,44,0,2,7
16,1,0,58,0,1,7
14,1,0,87,0,1,7
12,1,1,52,0,1,7
16,1,0,35,1,2,7
12,1,0,79,0,1,7
12,1,0,72,1,1,7
12,1,1,33,0,2,7
6,1,1,85,0,2,7
8,1,1,88,0,2,7
13,1,0,56,0,1,7
9,1,1,77,0,2,7
8,1,1,86,0,1,7
12,1,0,82,0,1,7
9,1,0,39,0,1,7
16,1,1,62,0,1,0
4,1,0,83,0,1,7
12,1,1,78,0,1,7
12,1,1,56,0,2,0
12,1,1,89,0,1,7
13,1,1,69,0,1,7
10,1,1,94,0,1,0
12,1,0,70,0,1,0
6,1,0,80,0,2,7
13,1,1,56,1,2,7
16,1,0,68,0,1,7
12,1,0,84,0,1,7
12,1,1,46,0,1,7
12,1,1,74,0,2,0
16,1,0,87,0,1,0
9,1,1,79,1,2,0
12,1,1,83,0,1,7
12,1,0,78,0,1,7
12,1,0,58,0,1,7
14,1,0,64,0,2,7
12,1,0,48,0,1,7
14,1,1,58,0,1,7
13,1,1,83,0,1,0
6,1,0,90,0,1,7
8,1,0,56,0,2,7
6,1,0,80,0,1,7
12,1,0,54,0,1,7
10,1,1,72,0,1,7
12,1,0,69,0,2,7
12,1,1,51,0,1,7
12,1,0,71,0,1,7
12,1,1,88,0,1,7
14,1,0,45,0,1,7
9,1,0,57,0,1,7
12,1,1,93,0,1,7
13,1,1,64,0,1,7
17,1,0,66,0,1,7
11,1,1,50,0,1,7
14,1,1,55,0,2,7
12,1,0,67,0,1,7
16,1,0,100,0,2,7
14,1,0,82,0,1,7
12,1,0,55,0,1,7
10,1,1,94,0,2,7
12,1,0,79,0,2,7
14,1,1,63,0,1,7
6,1,1,94,0,1,7
99,1,1,85,0,1,7
10,1,0,79,0,2,7
15,1,1,75,0,1,7
11,1,0,44,0,2,7
12,1,0,72,0,1,7
15,1,0,91,0,1,7
9,1,0,84,0,1,7
6,1,0,70,0,1,7
16,1,0,73,0,1,7
17,1,1,66,0,1,7
9,1,1,91,0,2,7
12,1,0,74,0,1,7
12,1,1,92,0,1,7
14,1,1,62,0,1,7
9,1,0,68,0,1,7
12,1,0,53,0,1,7
12,1,1,71,0,1,7
12,1,1,91,0,1,7
17,1,0,80,0,1,7
12,1,1,73,0,2,7
14,1,1,67,0,1,7
12,1,1,58,0,2,7
8,1,0,90,0,2,7
12,1,1,71,0,1,7
14,1,0,69,0,2,7
12,1,0,77,0,1,7
15,1,0,77,0,1,7
12,1,0,55,0,1,7
12,1,0,88,0,1,7
9,1,0,76,0,1,7
11,1,1,82,0,1,7
13,1,0,25,1,1,4
8,1,1,98,0,1,7
11,1,1,85,0,1,7
12,1,0,56,0,1,7
13,1,1,89,0,1,7
12,1,0,49,1,1,7
9,1,0,82,0,1,7
12,1,0,81,0,2,7
11,1,0,87,0,1,7
12,1,0,63,0,1,7
9,1,1,60,0,1,7
14,1,1,74,0,1,7
9,1,1,88,0,2,7
16,1,0,79,0,1,7
14,1,1,54,0,2,7
12,1,1,82,0,1,7
17,1,1,63,0,1,1
6,1,1,93,0,1,7
14,1,0,82,0,1,7
14,1,1,84,0,1,7
11,1,1,76,0,1,7
12,1,0,89,0,1,7
12,1,0,30,1,1,7
10,1,0,74,0,1,7
12,1,0,72,0,2,7
10,1,0,62,0,1,7
12,1,0,91,0,1,7
7,1,0,86,0,1,7
11,1,1,88,0,1,7
12,1,1,58,0,1,7
12,1,1,35,0,1,2
12,1,0,95,0,2,7
12,1,0,29,0,1,3
11,1,0,17,1,2,3
12,1,0,61,0,1,7
10,1,1,92,0,1,7
16,1,0,88,0,1,0
9,1,0,66,0,1,0
10,1,0,69,0,1,7
16,1,0,67,0,1,7
12,1,1,62,0,2,0
14,1,0,93,0,1,7
16,1,0,91,0,1,7
12,1,1,43,1,2,7
12,1,0,56,0,1,7
12,1,1,62,0,2,7
12,1,1,37,1,1,7
9,1,1,74,0,1,7
8,1,1,62,0,1,7
14,1,1,88,0,1,7
4,1,0,79,0,1,7
12,1,1,70,0,1,0
14,1,1,82,0,1,0
14,1,1,47,0,2,7
9,1,0,88,0,1,0
12,1,0,71,0,1,7
12,1,0,86,0,1,7
12,1,0,94,0,1,0
13,1,0,85,0,1,0
12,1,1,72,0,1,0
12,1,1,36,0,1,0
6,1,0,91,0,1,7
13,1,0,67,0,1,7
9,1,1,72,0,1,7
8,1,0,81,0,1,0
14,1,1,89,0,1,0
17,1,1,54,0,1,0
16,1,0,97,0,2,7
12,1,0,67,0,1,7
14,1,0,36,0,2,3
12,1,0,66,0,2,7
12,1,1,84,0,2,7
15,1,0,71,0,1,7
17,1,0,62,0,1,7
14,1,0,59,0,2,7
12,1,0,88,0,1,7
12,1,0,70,0,1,0
10,1,0,88,0,1,7
17,1,0,79,0,1,7
10,1,0,72,0,1,7
17,1,1,64,0,2,7
14,1,1,52,0,2,7
6,1,0,69,1,2,7
9,1,0,84,0,1,7
12,1,1,84,0,2,0
12,1,0,40,1,2,7
13,1,0,72,0,1,7
12,1,1,81,0,1,7
11,1,1,87,0,1,0
11,1,1,85,0,1,7
12,1,1,50,1,2,7
15,1,0,76,0,2,7
17,1,0,86,0,1,7
9,1,1,82,0,1,7
12,1,1,88,0,2,7
12,1,0,74,0,2,7
16,1,0,92,0,1,7
12,1,0,57,0,1,7
14,1,1,66,0,2,7
12,1,1,80,0,1,7
14,1,0,59,0,1,0
14,1,0,98,0,1,7
12,1,0,60,0,2,7
17,1,0,94,0,2,7
11,1,1,68,0,1,7
11,1,0,68,0,2,7
11,1,1,63,0,1,0
12,1,0,70,0,1,7
14,1,0,89,0,1,7
11,1,1,78,0,1,7
9,1,1,82,0,2,7
12,1,1,51,0,1,7
11,1,0,88,0,2,7
10,1,0,53,1,1,0
12,1,1,85,1,1,0
15,1,1,68,0,1,7
12,1,0,57,0,1,7
12,1,1,86,0,1,7
14,1,0,61,0,1,7
16,1,0,49,0,1,7
6,1,0,48,0,1,0
12,1,1,81,0,1,7
10,1,1,78,0,1,7
13,1,1,60,0,1,7
12,1,1,86,0,1,7
12,1,0,84,0,1,7
12,1,0,83,0,1,7
13,1,1,64,0,1,7
12,1,1,91,0,1,7
12,1,0,89,0,2,7
9,1,0,61,0,1,0
12,1,1,66,0,1,7
12,1,0,70,0,1,0
16,1,1,85,0,1,7
12,1,0,79,1,1,7
13,1,1,72,0,1,7
12,1,1,66,0,1,7
12,1,0,49,0,1,7
8,1,0,83,0,1,0
12,1,0,75,0,2,7
13,1,0,57,0,1,7
12,1,0,61,0,1,7
10,1,0,84,0,1,7
12,1,0,57,0,1,7
9,1,1,55,0,1,7
12,1,0,79,0,1,7
9,1,1,88,0,1,7
13,1,0,35,1,1,2
14,1,1,57,0,1,7
13,1,1,52,0,1,7
13,1,1,75,0,1,7
12,1,1,67,0,1,7
17,1,1,79,0,1,7
12,1,1,74,0,1,7
16,1,1,79,0,1,7
14,1,1,82,0,1,7
12,1,1,44,0,1,7
14,1,1,95,0,1,7
7,1,0,78,0,1,7
7,1,0,93,0,1,7
12,1,0,68,0,1,7
6,1,1,66,0,2,7
17,1,0,57,0,1,7
16,1,1,66,0,1,7
12,1,0,82,0,1,7
10,1,1,79,0,1,7
12,1,0,80,0,1,7
12,1,0,83,0,2,7
12,1,0,90,0,2,7
2,1,0,81,0,1,7
14,1,1,75,0,1,7
13,1,0,90,0,1,7
12,1,0,93,0,1,7
12,1,1,82,0,1,7
99,1,0,89,0,1,7
10,1,1,84,0,2,7
12,1,1,55,0,1,7
12,1,1,99,0,1,7
16,1,1,71,0,1,7
16,1,0,77,0,2,7
15,1,1,72,0,1,7
10,1,1,33,0,1,7
10,1,1,48,0,1,7
10,1,1,85,0,1,7
12,1,0,68,0,1,7
16,1,0,78,0,1,7
16,1,1,44,0,1,5
12,1,0,63,0,3,7
3,1,0,95,0,2,7
14,1,1,76,0,1,7
9,1,1,97,0,1,7
13,1,0,80,0,1,7
12,1,1,76,0,1,7
9,1,1,87,0,1,7
12,1,1,29,0,1,3
11,1,0,57,0,1,7
13,1,1,76,0,1,7
10,1,1,75,0,1,7
12,1,1,87,0,1,7
12,1,1,81,0,1,7
8,1,0,90,0,1,7
12,1,1,90,0,1,7
12,1,0,55,0,1,7
12,1,1,79,1,2,7
12,1,1,89,0,1,7
7,1,1,86,0,1,7
9,1,1,83,0,1,7
11,1,0,76,0,1,7
12,1,1,78,0,1,7
12,1,0,34,0,1,2
12,1,1,71,0,1,7
12,1,1,87,0,1,7
12,1,0,79,0,1,7
14,1,0,60,0,1,7
10,1,1,94,0,2,7
12,1,1,61,0,1,7
5,1,1,89,0,1,7
14,1,1,89,1,1,1
12,1,0,86,0,1,7
12,1,1,83,0,1,7
14,1,1,80,0,1,7
12,1,1,84,0,2,7
17,1,0,82,0,1,7
12,1,1,30,0,1,1
7,1,1,83,0,1,7
12,1,1,86,0,1,7
12,1,0,76,0,1,7
12,1,1,49,0,1,5
12,1,1,70,0,2,7
16,1,0,90,0,1,7
12,1,1,94,0,1,7
12,1,0,64,0,1,4
8,1,1,60,0,1,7
12,1,1,78,0,1,7
12,1,1,93,0,2,7
9,1,0,55,0,1,7
14,1,0,27,1,1,4
12,1,0,79,0,1,7
12,1,1,74,0,1,7
14,1,0,23,1,1,2
9,1,0,76,0,2,7
16,1,0,59,1,2,0
17,1,1,89,1,1,7
16,1,1,89,0,1,0
12,1,1,69,0,1,7
12,1,1,78,0,1,0
14,1,0,68,0,1,7
15,1,1,83,0,1,0
8,1,1,71,0,1,7
99,1,1,83,0,1,7
12,1,1,82,1,1,0
12,1,1,46,0,1,7
12,1,1,58,0,1,7
10,1,0,58,1,1,7
14,1,0,88,0,1,7
11,1,1,90,0,1,0
11,1,1,81,0,1,0
16,1,0,93,0,1,7
9,1,0,61,0,1,0
10,1,1,90,0,1,7
12,1,1,57,0,1,0
14,1,0,74,0,1,7
12,1,1,63,0,1,7
5,1,0,67,0,1,0
8,1,1,88,0,2,7
12,1,1,77,0,2,0
12,1,0,78,0,2,7
12,1,0,57,0,1,0
13,1,0,78,0,1,0
10,1,1,71,0,1,7
12,1,1,91,0,1,7
12,1,1,89,0,1,0
16,1,0,64,0,1,7
12,1,1,54,0,1,0
16,1,1,77,0,1,7
12,1,1,64,0,1,7
12,1,1,68,0,1,7
14,1,1,78,0,1,7
12,1,1,93,0,2,7
12,1,0,58,0,1,7
12,1,1,67,0,1,7
12,1,1,75,0,2,7
12,1,0,82,0,1,7
12,1,1,75,0,1,7
17,1,1,57,1,1,7
14,1,1,74,0,1,7
12,1,1,85,0,1,7
14,1,0,55,0,1,7
12,1,1,81,0,1,7
12,1,1,59,0,1,7
6,1,0,84,0,1,7
14,1,0,63,0,1,7
10,1,1,97,0,1,7
12,1,0,53,0,1,7
17,1,0,69,0,1,7
6,1,0,95,0,1,7
12,1,0,51,0,1,7
12,1,1,78,1,1,7
7,1,0,57,0,1,0
12,1,1,63,0,2,7
12,1,1,85,0,2,7
12,1,1,74,0,1,7
12,1,0,68,0,1,7
14,1,1,63,0,1,7
12,1,0,61,0,1,7
12,1,1,82,0,1,0
12,1,0,54,0,2,7
16,1,1,60,0,1,0
13,1,1,78,0,1,7
9,1,0,65,0,1,7
10,1,1,64,0,1,7
9,1,1,77,0,2,0
12,1,0,47,0,2,0
6,1,1,80,0,1,7
14,1,1,65,0,1,7
